customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00025,Female,0,Yes,Yes,61,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.6,3352.34,No
C00026,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),43.72,2115.9,No
C00027,Female,0,Yes,No,61,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),67.38,3471.01,No
C00028,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Mailed check,59.15,3124.9,No
C00029,Female,0,No,Yes,54,No,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),117.64,6368.72,No
C00030,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,23.65,1268.05,No
C00031,Female,0,No,No,2,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),32.36,55.46,No
C00032,Male,0,No,Yes,50,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,23.34,1257.97,No
C00033,Female,1,Yes,No,6,Yes,No,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),81.21,394.52,Yes
C00034,Female,0,No,Yes,20,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,23.51,441.41,No
C00035,Female,0,No,Yes,72,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,No,Electronic check,102.48,6596.75,No
C00036,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,69.71,2647.72,No
C00037,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),71.23,1273.74,No
C00038,Female,0,Yes,No,3,No,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,No,Electronic check,74.72,203.56,No
C00039,Male,1,Yes,No,59,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),35.25,1930.15,No
C00040,Female,0,No,No,13,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Electronic check,37.97,540.29,No
C00041,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,One year,Yes,Electronic check,50.2,415.73,No
C00042,Male,0,No,No,52,Yes,No,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),77.94,4333.18,No
C00043,Female,0,No,No,1,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No,One year,No,Electronic check,39.22,36.54,No
C00044,Female,0,No,No,59,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,29.75,1527.46,Yes
C00045,Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,115.98,7498.01,No
C00046,Male,0,No,Yes,43,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.22,882.35,No
C00047,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,99.07,577.56,Yes
C00048,Female,0,Yes,No,46,Yes,Yes,No,No internet service,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),97.59,3955.56,No
C00049,Female,1,No,No,34,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,48.02,1328.99,No
C00050,Female,0,No,No,35,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,Two year,No,Credit card (automatic),31.7,1031.51,No
C00051,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,32.71,1680.1,No
C00052,Female,0,No,No,3,Yes,No,No,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),88.44,214.22,No
C00053,Male,0,No,No,1,Yes,No phone service,No,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,82.92,83.14,No
C00054,Female,1,No,No,5,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),97.06,524.0,Yes
C00055,Male,0,Yes,No,53,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.69,5202.58,No
C00056,Female,0,No,No,3,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,Yes,Two year,No,Electronic check,87.88,265.77,No
C00057,Male,1,Yes,No,53,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),33.74,1953.69,No
C00058,Male,0,Yes,No,62,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,42.59,2874.76,No
C00059,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),103.06,1525.1,No
C00060,Male,0,No,No,43,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),39.14,1397.07,No
C00061,Male,1,No,Yes,33,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),25.32,705.62,No
C00062,Female,1,No,No,61,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,89.03,5488.45,No
C00063,Female,0,No,Yes,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.66,776.1,No
C00064,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,110.92,5225.08,No
C00065,Male,0,No,Yes,14,Yes,No,No,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,83.68,1055.33,No
C00066,Male,0,No,Yes,71,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,27.13,1639.09,No
C00067,Female,0,Yes,No,61,No,No phone service,Fiber optic,No,No,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,113.73,6758.74,No
C00068,Male,0,No,Yes,39,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.11,1625.85,No
C00069,Male,1,Yes,No,52,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),52.06,2757.61,No
C00070,Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),58.63,1257.34,Yes
C00071,Male,0,Yes,No,25,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),23.17,522.25,No
C00072,Female,0,Yes,Yes,59,Yes,No,No,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,68.15,3570.69,No
C00073,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),30.46,1052.02,No
C00074,Female,1,Yes,Yes,28,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,58.5,1440.99,No
C00075,Male,0,Yes,No,14,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,53.42,619.58,No
C00076,Female,1,No,No,44,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,96.06,3821.12,No
C00077,Male,0,Yes,Yes,64,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,99.12,5144.54,No
C00078,Female,0,Yes,No,70,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,33.49,2006.54,No
C00079,Female,0,No,No,8,Yes,Yes,No,No,No,No,No internet service,Yes,No,Two year,No,Bank transfer (automatic),55.02,450.74,No
C00080,Male,0,Yes,Yes,0,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),55.71,0.0,No
C00081,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),33.29,233.14,No
C00082,Male,0,No,No,62,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,98.64,6207.81,No
C00083,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Two year,No,Bank transfer (automatic),89.43,871.37,No
C00084,Female,0,No,Yes,7,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),37.23,283.44,No
C00085,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,55.04,1509.12,No
C00086,Female,0,No,No,34,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No,One year,No,Electronic check,28.69,996.53,No
C00087,Female,0,No,No,32,Yes,No phone service,No,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),81.45,2834.81,No
C00088,Female,0,Yes,No,4,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,30.26,128.14,No
C00089,Male,1,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,117.58,3999.45,No
C00090,Female,0,No,No,27,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),96.85,2348.35,Yes
C00091,Female,0,Yes,Yes,6,Yes,No,No,No,No,No internet service,No,No,No,One year,No,Mailed check,57.41,293.39,Yes
C00092,Male,0,Yes,No,72,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Mailed check,76.43,5395.06,No
C00093,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),110.05,7920.25,No
C00094,Female,0,No,No,11,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No,One year,Yes,Electronic check,73.96,728.24,No
C00095,Female,1,Yes,No,33,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),35.62,1130.62,Yes
C00096,Male,0,No,No,32,Yes,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,56.25,1813.1,No
C00097,Female,0,No,No,47,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),103.16,4491.68,No
C00098,Female,0,No,No,22,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),83.07,1930.26,No
C00099,Female,1,Yes,Yes,61,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),83.72,5267.61,No
C00100,Male,0,Yes,No,36,Yes,No,No,Yes,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),105.55,3113.55,No
C00101,Female,0,Yes,Yes,43,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),108.29,4592.85,No
C00102,Male,0,Yes,No,34,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,110.9,3282.68,No
C00103,Female,0,Yes,Yes,64,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),27.58,1707.32,No
C00104,Male,0,Yes,Yes,46,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),72.96,3648.37,No
C00105,Male,0,No,Yes,2,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,92.79,197.4,No
C00106,Female,0,No,No,0,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,94.45,0.0,No
C00107,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,One year,Yes,Mailed check,79.28,281.43,Yes
C00108,Male,0,No,Yes,13,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,34.85,394.3,No
C00109,Female,0,No,Yes,26,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.54,2458.93,No
C00110,Male,0,No,No,8,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),90.73,605.55,No
C00111,Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),26.7,360.64,No
C00112,Male,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),64.84,2127.82,No
C00113,Male,0,No,Yes,50,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),35.57,1595.59,No
C00114,Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.09,2796.75,No
C00115,Female,1,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),19.83,1103.73,No
C00116,Female,1,No,Yes,3,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.43,178.48,No
C00117,Male,0,Yes,Yes,22,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,73.54,1464.01,No
C00118,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,80.58,933.92,No
C00119,Male,0,Yes,Yes,42,No,No phone service,No,No internet service,No,Yes,Yes,No internet service,No,One year,No,Electronic check,85.01,3409.89,No
C00120,Female,1,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,102.47,2479.05,No
C00121,Male,0,No,No,35,Yes,No,No,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),39.76,1337.23,No
C00122,Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,30.17,380.36,No
C00123,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,104.01,3175.1,No
C00124,Male,1,No,Yes,70,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,33.82,2344.05,No
C00125,Male,0,No,Yes,58,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),116.45,6499.53,No
C00126,Male,0,No,No,27,No,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.1,3001.33,No
C00127,Female,0,No,No,65,No,No phone service,DSL,No internet service,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,68.59,4813.1,No
C00128,Male,0,No,No,41,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,117.12,4580.15,No
C00129,Male,0,Yes,Yes,44,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),27.84,1092.33,Yes
C00130,Male,1,Yes,No,61,Yes,No,No,No,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),48.61,2781.0,No
C00131,Female,1,No,No,56,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),82.46,3952.65,No
C00132,Female,0,Yes,Yes,5,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,53.35,264.32,No
C00133,Female,0,Yes,Yes,27,No,No,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Bank transfer (automatic),111.77,2866.98,No
C00134,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),24.63,552.62,No
C00135,Male,0,No,Yes,43,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,73.49,2715.43,No
C00136,Female,1,Yes,No,29,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,77.68,2126.32,No
C00137,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,83.93,5459.05,No
C00138,Female,0,No,No,61,No,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,43.82,2592.61,No
C00139,Male,1,No,Yes,0,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,No,One year,Yes,Mailed check,54.82,0.0,No
C00140,Male,0,No,Yes,26,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),103.21,2419.7,No
C00141,Female,0,Yes,Yes,61,Yes,No,DSL,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,37.69,2233.39,Yes
C00142,Male,1,Yes,Yes,2,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,101.51,189.66,No
C00143,Male,0,No,No,69,Yes,No phone service,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),74.83,5151.6,No
C00144,Male,0,No,No,71,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,94.98,5497.18,Yes
C00145,Female,0,No,Yes,26,Yes,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,90.07,2220.02,No
C00146,Male,0,No,Yes,8,Yes,No phone service,No,No,No,No,Yes,No,No internet service,Month-to-month,No,Mailed check,38.96,277.02,No
C00147,Male,0,No,Yes,61,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,75.45,4132.34,No
C00148,Male,0,Yes,Yes,36,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,105.64,4138.75,Yes
C00149,Male,0,No,No,50,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,61.64,2634.52,No
C00150,Female,0,Yes,Yes,43,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,115.63,4441.93,No
C00151,Female,0,No,No,23,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,63.67,1395.54,No
C00152,Female,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,32.42,1991.13,No
C00153,Male,1,Yes,Yes,31,Yes,No,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),57.33,1643.94,No
C00154,Female,0,No,Yes,51,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,114.12,5954.91,No
C00155,Female,0,Yes,Yes,61,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,50.29,3242.28,No
C00156,Male,0,Yes,Yes,57,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,One year,No,Credit card (automatic),105.68,5379.25,No
C00157,Male,0,No,Yes,51,Yes,Yes,DSL,No,Yes,No,No internet service,No,No internet service,One year,Yes,Electronic check,107.01,5009.04,No
C00158,Male,0,Yes,Yes,11,Yes,No phone service,No,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,53.37,532.45,No
C00159,Female,0,Yes,Yes,38,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,26.41,1053.62,No
C00160,Male,0,Yes,No,1,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,91.18,74.16,No
C00161,Female,0,No,Yes,2,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,No,One year,No,Mailed check,49.46,88.29,No
C00162,Male,1,No,Yes,55,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,97.08,5359.81,Yes
C00163,Female,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,62.71,3526.73,No
C00164,Male,1,Yes,No,1,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),67.01,62.38,No
C00165,Male,0,No,No,1,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),96.57,92.9,No
C00166,Female,0,No,Yes,53,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),56.62,2578.57,No
C00167,Male,0,Yes,Yes,0,Yes,No phone service,DSL,No,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),62.76,0.0,Yes
C00168,Female,0,Yes,No,18,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),56.0,958.11,No
C00169,Male,1,Yes,No,1,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,55.1,58.98,No
C00170,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.12,3247.98,No
C00171,Female,0,Yes,Yes,43,No,Yes,No,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.69,4545.36,No
C00172,Male,0,Yes,Yes,31,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),54.54,1679.37,No
