gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,1,0.2433767912878585,1,1,2,0,1,1,0,2,2,0,1,0,1.185860707016701,0.9825335190541878,0
0,0,0,1,1.1027915524011138,1,0,1,1,1,1,1,0,2,2,0,2,-1.1844869555871886,-0.12966154466981009,0
1,0,0,1,-1.0457453503820247,1,1,1,0,1,1,1,0,1,1,0,2,-0.6750051661683318,-0.9342028701807847,0
0,0,1,1,1.1982820814136979,1,1,0,1,0,2,1,1,2,0,0,2,-0.8565446543520625,0.29185466525948833,0
0,0,1,1,1.1982820814136979,0,1,1,1,2,0,0,0,1,0,1,0,-0.4276705314132682,0.5853590816803924,0
1,0,1,1,0.48210311381931836,1,0,0,2,2,2,0,1,1,1,1,0,-0.8369094535428165,-0.10860313318070558,0
0,0,1,0,1.1982820814136979,1,2,0,2,1,0,0,0,1,0,0,1,-0.021876381355517782,0.6519636043726108,0
1,0,1,0,0.6730841718444862,1,2,1,1,0,1,1,2,0,2,0,3,-0.3053811228644555,0.4577064934852449,0
0,0,0,1,0.8640652298696541,0,2,0,1,0,1,2,1,1,1,1,0,1.709466061929928,2.2783273985115517,0
0,0,1,0,1.2937726104262819,1,2,1,1,1,0,0,0,2,0,1,2,-1.5282752083525837,-0.5844659844876691,0
0,0,0,0,-1.6186885244575282,1,1,2,0,1,1,2,2,2,0,0,0,-1.2282355608990174,-1.2650421888472974,0
1,0,0,1,0.6730841718444862,1,1,1,0,1,2,0,1,0,0,1,3,-1.5389540017751557,-0.5901234681713091,0
0,1,1,0,-1.4277074664323604,1,0,0,1,0,0,2,1,2,0,1,1,0.45453559617408246,-1.0747419489886678,1
0,0,0,1,-0.7592737633442728,1,2,0,1,0,1,0,0,1,0,0,3,-1.5330978892531,-1.0484245472103066,0
0,0,0,1,1.7234799909829095,1,1,1,1,2,1,2,0,1,1,0,2,1.1872386158454205,2.4063111291048487,0
0,0,1,0,0.10014099776898261,1,2,1,2,2,1,2,2,1,0,0,2,0.05838680791736493,0.1898852569615002,0
0,1,1,1,-0.9025095568631487,1,2,1,2,2,0,1,1,1,1,0,0,0.11074734340868796,-0.5812724247495826,0
0,0,1,0,-1.5709432599512363,0,0,1,0,2,2,1,2,0,1,0,2,0.23096988871442206,-1.1819198343287372,0
1,1,1,0,1.1027915524011138,1,1,1,0,2,2,0,2,1,0,0,0,-1.1286816480240685,-0.2128568627676236,0
0,0,0,0,-1.0934906148883166,1,2,0,2,1,1,2,0,2,1,1,2,-1.0349838476711752,-0.9929273263136474,0
0,0,1,0,-1.3322169374197765,1,0,1,0,0,0,1,0,2,1,1,2,-0.6136882232903356,-1.062837660404342,0
1,0,0,0,0.7685747008570701,1,0,2,0,2,0,2,0,1,0,0,1,0.34189154942630295,1.1358636745634756,0
0,0,0,0,-1.66643378896382,1,2,0,1,1,0,2,0,0,1,0,2,-0.991924196773706,-1.2756611959201614,0
0,0,0,0,1.1027915524011138,1,2,1,1,0,1,1,1,0,2,1,3,-1.3181441119729334,-0.43886996837923076,1
1,0,1,0,1.6279894619703257,1,0,1,2,2,2,1,2,1,0,0,2,1.652282845538089,2.9121507863188767,0
1,0,0,1,0.3388673203004424,1,0,1,1,1,0,0,1,1,0,1,2,-1.6464308904152394,-0.8009433115491726,0
0,0,0,1,-1.3799622019260684,1,2,1,0,2,2,0,2,1,0,0,2,1.0697718881971239,-0.97200922940003,1
0,0,1,0,0.48210311381931836,1,2,2,1,2,0,2,1,2,1,1,1,1.0187892615345204,0.923921314581715,0
0,1,0,0,-0.09084006025618527,1,0,1,0,0,0,1,2,2,2,1,2,-0.688784254455522,-0.5502629035669326,0
0,0,0,0,-0.0430947957498933,1,1,1,2,1,2,2,1,0,2,0,1,-1.250971056572881,-0.7172260232305471,0
1,0,1,1,0.6253389073381943,1,0,1,1,0,0,2,0,2,0,0,2,-1.216178858647726,-0.35319950116982485,0
0,0,0,0,-1.5709432599512363,1,0,2,2,2,2,2,0,0,1,1,0,0.703592616965045,-1.175936820829967,0
1,0,0,0,-1.66643378896382,1,1,2,1,2,0,0,2,0,0,0,3,0.5134411986018208,-1.2495065590493653,0
0,1,0,0,-1.4754527309386523,1,2,2,1,2,2,1,2,0,0,0,0,1.0005319695539934,-1.002070224052387,1
1,0,1,0,0.8163199653633622,1,0,0,1,0,1,2,2,2,0,1,0,1.5389498443759495,1.6238216422774272,0
0,0,0,0,-1.5709432599512363,1,2,0,2,2,0,1,0,2,2,0,2,0.6843018933629788,-1.1470039553645262,0
1,1,1,0,0.8163199653633622,1,1,1,1,1,0,2,2,0,1,0,0,-1.1806977063082114,-0.19964484233975796,0
1,0,1,0,1.2460273459199898,1,0,0,0,2,2,0,2,0,1,0,2,-0.8758353779541286,0.3173133418358685,0
1,0,1,1,-0.9025095568631487,1,2,1,1,0,2,1,0,1,1,0,0,1.207218293861846,-0.4401945379718291,0
1,0,0,0,0.3388673203004424,1,2,0,1,2,2,2,1,0,0,0,0,-0.994680014431144,-0.5120524383702846,0
1,1,0,1,-0.13858532476247723,1,2,1,0,1,2,2,2,0,0,0,0,-1.4707475147535645,-0.900134491252516,0
0,1,0,0,1.1982820814136979,1,2,1,2,1,1,1,2,1,2,0,2,0.7239167721886507,1.7842685530554203,0
0,0,0,1,-1.0934906148883166,1,2,1,2,0,0,2,2,0,0,1,1,-0.32226050601626355,-0.8605770061311917,0
0,0,1,0,0.5298483783256103,1,2,0,0,2,0,1,0,2,0,1,3,1.4779773787051331,1.6364499540712665,0
1,0,0,1,-1.0457453503820247,1,0,2,1,0,0,1,1,2,0,0,3,0.5396214663474823,-0.7038568504781358,0
1,0,0,1,1.6757347264766176,1,0,1,0,1,1,0,0,0,0,1,3,-1.4083971402540292,-0.3762167041327293,0
0,0,1,0,1.1982820814136979,0,1,1,0,0,2,1,0,1,2,1,3,1.574775473922644,2.4972293614374723,0
1,0,0,1,0.14788626227527457,1,2,1,1,2,1,1,1,1,0,0,2,-0.8234748424628061,-0.3836477640505263,0
1,1,1,0,0.7685747008570701,1,1,1,0,2,0,1,0,2,2,0,0,-0.5496154627549013,0.25156193176261166,0
1,0,1,0,-0.6160379698253969,1,0,1,2,1,0,2,2,2,0,0,1,-0.3232939376378026,-0.5904770609015366,1
1,0,1,0,-0.520547440812813,1,1,0,2,1,2,1,2,1,1,1,1,-1.5448101142972117,-1.0030524260807967,0
0,0,1,1,1.1027915524011138,1,0,2,2,1,2,0,0,0,0,0,2,0.004648363597323659,0.7079098319108287,0
0,0,0,1,0.19563152678156653,1,0,1,0,1,1,1,1,0,0,0,1,-1.2936862302631709,-0.7057146154575851,0
0,1,1,1,-0.37731164729393707,1,1,1,1,1,0,2,2,0,0,0,3,-0.3277721413311395,-0.4874019737487102,0
1,0,1,0,-1.0457453503820247,1,0,0,2,2,1,0,1,0,0,1,2,-0.5027665625784546,-0.9484251555521576,0
0,1,0,0,0.38661258480673444,1,0,2,1,2,0,1,1,1,2,1,2,0.9660842488360181,0.8484657484677701,0
1,0,1,1,1.3415178749325738,1,1,0,1,2,2,2,2,1,0,0,2,1.071494274233023,1.591246210432341,0
0,0,1,0,1.6279894619703257,1,1,1,2,0,2,1,2,1,0,0,3,-1.1893096364877052,-0.16998234108178428,0
0,0,0,0,-1.3322169374197765,1,2,2,0,0,0,1,2,0,2,0,0,-0.4476502094296939,-1.0431880072531279,0
1,0,1,1,-1.7141790534701122,0,1,1,2,1,2,0,2,0,1,1,0,-0.42388128213429094,-1.2961695742733563,0
0,0,0,0,-1.3799622019260684,1,0,1,0,2,0,1,2,2,0,0,0,-1.1961991806313004,-1.165317813757103,0
1,0,0,0,1.2460273459199898,1,2,1,1,1,2,1,0,1,1,1,2,1.0549593682883946,2.1880153251450323,0
0,0,1,1,-1.2367264084071925,1,0,1,2,2,2,0,0,1,2,0,0,0.737695860475841,-0.8071059277045662,0
0,0,0,1,-1.3799622019260684,1,1,0,2,2,1,2,0,0,0,0,0,-1.0604751610024772,-1.1370865211690977,0
0,0,1,1,-0.09084006025618527,1,0,0,0,2,2,1,2,0,0,0,3,-0.44696125501533457,-0.4491634456369648,0
0,0,0,0,-0.09084006025618527,1,1,1,0,2,0,1,1,0,1,0,2,-1.3546586959339875,-0.7368588386327026,0
0,0,0,0,-0.1863305892687692,1,1,2,1,2,0,1,0,0,0,1,1,0.4628030491463969,0.29489107267302916,0
0,0,1,0,-1.5231979954449444,1,1,1,2,2,0,0,1,1,0,0,2,-1.3005757744067656,-1.2242499354616865,0
1,1,1,1,0.19563152678156653,1,2,1,2,2,1,1,2,0,0,0,3,1.7073991986868493,0.9485549414542308,0
0,0,0,0,-0.42505691180022903,1,1,1,2,0,0,2,2,2,2,1,0,0.9932979482032184,0.021861359107203323,1
0,0,1,1,-1.4277074664323604,1,0,2,0,0,1,0,0,0,1,0,3,-0.3653201569137329,-1.131502001064711,1
1,0,1,0,1.7234799909829095,1,2,2,0,1,1,1,1,2,2,0,3,0.2898754911421603,1.7318526402364582,0
1,0,1,0,1.6757347264766176,1,2,1,2,2,2,0,1,2,2,1,1,1.4480078616804943,3.1491364917335756,0
0,0,0,0,-1.1889811439009006,1,2,0,0,1,2,0,1,0,1,1,2,0.20478962096876055,-0.8874388284624428,0
0,1,1,0,-0.13858532476247723,1,0,1,1,0,1,1,1,0,0,1,1,-1.1159359913584177,-0.6615997129244398,1
1,0,0,0,-0.1863305892687692,1,1,0,2,2,0,2,1,2,0,0,2,-0.40527951294658426,-0.27855214701068565,0
0,0,0,0,0.5298483783256103,1,2,2,2,0,1,1,2,0,0,0,1,1.2106630659336435,1.2248231154222993,0
0,0,0,0,-0.6637832343316888,1,1,1,1,0,2,0,1,2,2,0,0,0.5186083567095168,-0.21279512435440934,0
0,1,1,1,1.1982820814136979,1,1,1,2,1,1,1,1,2,2,1,1,0.540999375176201,1.6603202696531323,0
1,0,1,0,0.00465046875639867,1,0,2,2,2,0,0,1,0,2,0,1,1.2929931184496049,0.45133621175813043,0
0,0,1,1,0.3388673203004424,1,2,2,2,1,1,1,0,2,2,1,1,1.3873798732168579,1.2816056178304205,0
1,0,1,0,-0.09084006025618527,1,0,2,2,2,2,1,2,2,0,1,3,1.4772884242907736,0.5462618283666656,0
0,0,1,1,1.3415178749325738,1,2,0,0,2,1,1,0,2,2,1,0,-1.3928956659309402,-0.33792205019078897,0
1,0,1,1,0.48210311381931836,1,2,0,1,2,0,2,0,1,0,0,0,0.1703419002507851,0.7515083768061814,0
1,0,0,1,-1.6186885244575282,1,1,0,2,0,0,2,0,0,0,0,3,0.8534402020882385,-1.1853771854687392,0
0,0,0,0,-1.7141790534701122,1,1,1,0,0,2,2,0,0,2,1,3,0.9106234184800776,-1.2961695742733563,0
1,0,1,1,-1.5231979954449444,1,2,1,2,1,2,2,0,1,1,1,3,0.38805149518839016,-1.138214650356014,1
1,0,0,1,-1.0934906148883166,1,2,0,0,1,2,1,2,2,1,1,3,-1.1424607363112587,-1.0748654258150965,0
0,0,0,1,-0.472802176306521,1,1,1,0,1,2,2,1,1,0,1,3,1.0515145962165973,0.08392530213665898,0
1,0,0,0,-1.3322169374197765,1,2,0,1,0,1,1,0,2,1,1,0,0.782477897409209,-0.9562996095284938,0
1,0,1,1,-1.0457453503820247,1,2,1,0,0,2,0,2,0,0,0,1,-1.4232096601627584,-1.0937573802586802,0
1,0,0,1,0.2433767912878585,1,2,1,2,2,0,0,0,0,0,1,1,-0.10937359197917512,-0.10191293422148044,0
1,0,0,1,0.6730841718444862,1,0,1,1,2,2,2,1,0,0,0,1,-1.1176583773943163,-0.4006314402674854,0
0,0,0,1,1.2460273459199898,1,2,2,1,1,1,2,0,2,0,1,2,-0.548582031133362,0.27352958170087255,0
0,1,1,0,0.7208294363507782,1,2,1,2,2,1,1,2,1,0,1,1,-1.6598655014952497,-0.6766919486638325,0
0,1,0,1,-1.5709432599512363,1,1,0,2,2,1,1,1,1,0,1,0,-0.33018348178139784,-1.1959961925416034,0
1,0,1,1,-0.6637832343316888,1,1,0,1,0,1,0,1,1,2,1,3,0.1903215782672113,-0.4744818076378577,0
0,0,1,1,-1.0457453503820247,1,0,1,0,0,0,1,1,2,0,1,2,0.4328335321217581,-0.7719992209176928,0
1,0,1,1,0.29112205579415046,0,1,2,1,0,2,2,1,0,1,0,2,0.5854369349023896,0.6176594969575234,0
0,1,1,1,-0.37731164729393707,1,2,2,1,1,2,2,1,0,0,0,2,1.1868941386382406,0.09521781917186128,0
1,0,0,0,-0.0430947957498933,1,0,2,2,0,2,1,0,0,0,1,0,-0.9733224275859993,-0.5456381351588777,0
0,0,0,1,-1.1412358793946085,1,2,1,2,1,2,0,2,0,0,0,2,-1.3036760692713836,-1.0826893665442572,0
1,0,0,0,-0.23407585377506118,1,2,1,2,2,2,0,2,1,0,1,2,1.239943628543923,0.4858816602430552,0
1,1,0,1,1.6279894619703257,1,2,1,1,2,2,0,2,0,0,0,3,-1.1779418886507733,0.019447948408825293,0
1,0,0,1,1.055046287894822,1,0,1,1,2,2,2,0,0,2,0,0,1.6684732742755373,2.3517455969894234,0
1,0,0,0,-0.42505691180022903,0,1,0,2,2,1,2,2,0,0,1,0,1.2085962026905648,0.38835180511347916,0
0,0,0,0,1.3892631394388657,0,1,0,1,0,1,2,0,0,2,1,2,0.019805360713232772,1.4052227588345587,0
1,0,0,0,0.2433767912878585,1,1,1,2,2,0,0,1,2,0,0,2,1.6915532471565808,1.2744776373956752,0
1,0,1,1,0.38661258480673444,1,2,0,1,0,1,2,1,2,0,1,1,-1.3839392585442662,-0.6830902933060445,1
1,1,1,0,1.1982820814136979,1,0,2,0,2,0,1,1,1,2,1,1,-0.6684600992319166,0.264689763445185,0
0,1,0,0,0.959555758882238,1,1,1,2,2,2,1,2,0,0,0,0,0.4975952470715518,0.9222880529230452,0
0,0,1,1,-1.4754527309386523,0,0,1,0,0,2,0,2,2,0,0,2,-0.505177903028713,-1.1478177799023515,0
0,0,1,1,-0.42505691180022903,0,0,0,2,1,1,0,2,1,2,0,0,1.507257941315412,0.3129467522467097,0
1,0,1,1,-0.42505691180022903,1,2,1,2,0,1,1,2,2,2,0,0,-1.4945164420489678,-0.9860070114506235,0
1,0,0,1,0.3388673203004424,1,0,1,1,1,2,0,1,1,0,0,2,0.18859919223131213,0.22788805658642736,0
0,1,1,0,-0.3295663827876451,1,1,1,2,0,2,1,0,1,0,1,3,0.33293514203962965,-0.10275482167440306,0
1,0,1,0,1.1982820814136979,1,1,1,0,1,1,2,0,0,0,1,3,0.5482333965269761,1.7677675589781372,0
0,0,0,0,1.1982820814136979,0,0,2,0,1,2,1,2,1,2,1,3,-0.8334646814710189,0.15895431194112322,0
1,1,0,1,-1.7141790534701122,1,0,1,1,0,1,0,1,0,1,1,3,-0.45453975357328913,-1.2961695742733563,0
1,0,0,1,-0.472802176306521,1,0,1,2,1,2,0,1,0,0,1,0,1.212385451969542,0.061907138951222664,0
0,0,1,1,1.1982820814136979,1,0,0,2,0,1,0,0,0,0,1,3,-1.0446292094722085,-0.042660895284786456,1
1,1,1,1,-1.6186885244575282,0,1,1,1,1,1,1,1,1,1,1,3,1.1538243267489843,-1.18972132472582,0
1,0,0,0,1.5802441974640336,1,1,2,2,2,2,1,2,1,0,1,0,0.23475913799339934,1.5952086940440973,0
1,0,0,0,1.6757347264766176,1,2,2,2,2,2,0,1,1,0,0,3,0.9288807104606046,1.7891683380314303,1
0,0,0,1,-0.472802176306521,1,0,0,0,2,1,0,0,0,0,1,2,0.7597424017353448,-0.0501649187818367,0
1,0,0,1,-1.3322169374197765,1,1,2,0,0,0,2,0,1,0,0,3,-1.0008806041603795,-1.1406897994676066,0
1,0,0,1,1.1982820814136979,1,0,0,0,1,0,2,2,2,2,1,3,0.25611672483854425,1.023140557200156,0
1,0,1,1,0.00465046875639867,1,1,1,0,2,0,1,2,0,0,1,3,1.2960934133142228,1.0267382229156452,1
1,0,0,0,0.6730841718444862,1,2,2,2,0,0,2,0,2,0,0,2,-0.21960629827669662,0.1824766473757812,0
0,0,1,1,0.3388673203004424,1,1,1,2,0,2,2,2,1,0,1,2,1.640226143286797,1.1969005149003658,0
0,0,0,0,-0.6160379698253969,1,1,1,0,1,0,1,0,2,0,1,2,-0.14967742521920643,-0.5129111635722657,0
0,0,1,1,1.055046287894822,1,2,0,2,0,0,2,0,2,0,1,2,-1.226168697655939,-0.17863133151480928,0
1,1,1,1,-0.23407585377506118,1,0,0,1,0,1,1,2,2,2,0,0,-0.36807597457117086,-0.37349460136827944,0
0,0,0,1,0.7208294363507782,1,1,2,1,1,1,0,1,0,0,0,3,1.5882100850026546,2.046073100582278,0
0,0,1,1,1.1982820814136979,1,2,2,2,2,2,2,0,1,0,0,3,-0.6105879284257179,0.5235869929679499,0
1,0,1,1,1.00730102338853,1,2,2,2,1,1,1,0,0,1,0,1,1.297471322142942,1.7229791464826536,0
1,0,0,1,0.7208294363507782,1,2,0,0,2,0,1,0,1,1,1,2,1.3432867906978492,1.515195710518331,0
1,0,1,1,-1.1889811439009006,1,1,2,0,2,0,1,2,0,0,1,2,-0.5044889486143536,-0.9973275914009229,0
0,0,1,1,0.10014099776898261,1,0,0,1,2,2,2,1,2,0,0,3,-1.4331994991709716,-0.7048166021744677,0
1,0,1,0,-1.66643378896382,1,1,0,2,2,2,1,2,2,2,0,3,0.797979371732298,-1.254546658600862,0
0,0,0,1,-1.6186885244575282,1,1,1,2,0,0,1,0,0,1,0,3,-0.6391795366216375,-1.2466160787943308,0
1,1,0,1,0.9118104943759461,0,1,1,0,2,1,2,2,2,0,0,2,1.001220923968353,1.7120682850927766,1
0,0,1,1,1.055046287894822,1,2,0,2,0,1,1,1,2,2,0,2,-0.18274723710846288,0.6832369169571764,0
1,1,1,0,-1.66643378896382,1,0,0,0,1,2,1,2,1,1,0,0,-0.03462203802116836,-1.2611582813978142,0
1,0,0,0,-1.66643378896382,0,1,1,0,2,2,2,2,1,0,1,1,0.9836525864021852,-1.2440286780223486,0
0,0,0,1,0.8163199653633622,1,0,0,2,2,2,2,1,0,0,1,0,-0.39253385628093346,0.1510742453817675,0
1,0,1,1,-1.7141790534701122,1,1,0,0,2,0,0,0,1,1,1,0,-0.18102485107256422,-1.2961695742733563,1
0,0,1,0,-0.8547642923568568,1,0,1,1,2,1,0,0,0,2,1,0,-0.4138914431260781,-0.7584223825935607,0
1,1,1,0,-1.66643378896382,1,2,0,0,2,1,1,2,0,1,1,3,-0.444894391772256,-1.2630665596244388,0
0,0,0,0,0.7685747008570701,1,0,1,1,1,1,0,2,1,0,1,0,0.10695809412971068,0.5267861652890558,0
0,0,1,1,0.3388673203004424,0,2,2,2,2,0,1,2,0,0,1,0,1.0911294750422686,1.2549514610708898,0
1,0,1,1,-0.23407585377506118,0,2,0,2,1,2,1,2,2,0,0,1,-0.4641851153743223,-0.35360921973024717,0
1,0,1,0,1.5802441974640336,1,0,2,2,1,1,0,1,2,0,0,0,0.1011019816076548,0.9187296752886921,0
1,0,0,0,-0.23407585377506118,1,1,0,2,1,0,2,0,2,1,0,0,0.6105837710265113,0.22156267552346873,0
0,0,1,1,1.4847536684514497,1,1,0,2,0,1,2,0,0,0,0,2,-0.7855823496730331,0.08203386165909289,0
0,0,1,1,0.8640652298696541,1,1,1,0,0,0,0,2,1,0,1,2,-0.7573352186842932,0.23731719605916082,0
0,0,1,1,0.9118104943759461,1,1,1,2,2,1,1,1,0,0,1,1,1.5244818016743997,2.38366435662123,0
0,1,0,1,-0.9502548213694407,1,0,1,2,1,2,2,1,2,0,0,3,0.7945345996605002,-0.5688798414425617,0
0,0,1,0,0.05239573326269064,1,1,0,2,1,1,1,2,2,0,1,1,0.2853972874488232,0.09378099791887312,0
0,0,1,1,-0.6160379698253969,1,1,2,1,2,0,2,2,2,0,1,2,0.5306650589608085,-0.31145310867090165,0
0,0,0,1,1.5324989329577416,1,2,2,0,2,1,0,0,1,2,1,3,-1.6209395770839374,-0.5707319938389913,1
1,1,1,0,1.5802441974640336,1,0,2,2,1,0,0,2,2,0,1,0,0.4276663740140621,1.543595380596921,0
0,0,0,1,-1.2367264084071925,1,2,1,2,0,0,0,2,0,1,0,0,0.04977487773787107,-0.9470669104614424,0
1,0,0,0,-0.9980000858757326,0,2,1,0,1,1,1,0,2,0,0,0,0.17585353556566155,-0.6889891180595223,0
0,0,0,0,1.7234799909829095,1,1,2,1,2,0,0,0,1,1,1,1,-0.47245256834663646,0.5673988160180431,0
0,0,0,1,1.055046287894822,1,1,2,2,1,0,0,1,0,2,0,0,-1.4394000889002068,-0.3963714897556968,0
0,0,0,1,1.5802441974640336,1,0,2,1,2,2,0,0,2,0,1,2,-1.0501408447870844,0.22079375164979947,0
1,0,0,0,-1.6186885244575282,1,2,2,0,0,2,1,2,1,0,1,2,1.5851097901380367,-1.1754709764393496,0
0,0,1,0,-0.8070190278505648,1,1,1,2,1,2,1,1,1,0,1,2,-0.30090291917111867,-0.628726814179321,0
0,0,0,1,1.055046287894822,1,2,1,0,2,0,1,2,2,0,1,3,-0.09938375297096252,0.5571670771735234,0
0,0,1,1,-0.0430947957498933,1,1,1,2,1,1,2,0,1,2,0,3,-1.5396429561895155,-0.9272769427347413,0
1,0,0,1,-0.8547642923568568,0,1,2,2,0,1,1,1,2,1,0,1,-1.592347968888018,-1.0791646644080213,0
1,1,1,0,1.4370084039451576,1,1,0,2,1,2,0,1,0,0,1,1,0.7724880584009959,1.8441941019544528,0
0,1,1,1,-0.8547642923568568,1,1,0,2,2,0,2,1,0,0,0,1,0.14932879061282012,-0.5870589978426707,1
0,0,0,0,-0.8070190278505648,1,0,0,0,2,2,1,0,1,0,1,3,0.0470190600804331,-0.5046662791166434,0
0,0,1,1,1.6279894619703257,1,2,2,2,1,2,1,0,0,0,1,3,-0.8768688095756679,0.5280546090514591,0
1,0,1,0,0.7208294363507782,1,2,2,1,1,0,1,0,2,2,0,0,0.8682527219969677,1.3463860510413066,0
0,0,0,0,-0.1863305892687692,1,0,0,2,2,2,2,1,0,2,0,0,-1.137638055410742,-0.6493811196910226,0
0,0,1,0,0.14788626227527457,1,0,0,0,2,0,0,0,0,0,1,2,-1.062197547038376,-0.6246408537411365,0
0,1,1,1,0.10014099776898261,1,0,1,1,1,2,0,0,2,0,0,1,-0.12005238540174759,-0.1287859817187706,0
1,0,0,1,-1.7141790534701122,1,1,1,2,0,1,2,2,2,2,0,0,-0.727021224452475,-1.2961695742733563,0
0,0,1,0,-1.2367264084071925,1,1,0,0,2,2,0,0,1,1,1,1,-0.8620562896669385,-1.0719188197298672,0
0,0,1,1,0.959555758882238,1,2,2,0,0,1,1,0,2,1,0,2,0.5220531287813146,1.1448213570625723,0
1,0,0,0,0.6253389073381943,1,0,1,2,0,2,2,0,2,0,0,3,0.5420328067977404,0.7596802976825503,0
0,0,1,0,-0.6637832343316888,1,2,1,1,0,2,0,0,0,0,1,0,1.1459013509838498,-0.06785016787623112,0
0,1,1,0,-0.28182111828135314,1,0,2,0,2,1,2,2,2,1,0,0,-0.26955549331776113,-0.42909846134230895,0
0,0,0,0,0.2433767912878585,1,2,0,0,0,2,1,0,2,2,0,0,-1.4686806515104862,-0.7191006259590548,1
1,0,1,1,-1.4277074664323604,1,0,1,1,1,0,0,0,0,1,0,1,-0.7707698297643036,-1.1651999495136938,0
1,1,0,1,-0.9980000858757326,1,0,1,2,1,1,0,0,1,2,1,0,1.6867305662560643,-0.489439341384783,0
0,0,0,1,1.1027915524011138,1,1,2,2,1,0,1,0,2,0,1,2,0.3515369112273361,1.0326931734993177,0
1,0,1,1,-1.66643378896382,1,2,0,2,2,0,0,1,0,0,0,3,0.7463077906553349,-1.2524138770534579,0
0,0,1,0,-1.7141790534701122,1,1,1,2,0,1,0,0,1,0,0,3,-1.697413517077843,-1.2961695742733563,0
0,0,0,0,0.5298483783256103,1,1,1,1,1,2,0,2,1,2,1,2,0.08008887196968979,0.21882934759298,0
1,0,0,0,-1.1889811439009006,1,2,2,0,0,0,1,1,1,1,0,2,-1.592347968888018,-1.181420314440003,1
1,0,0,1,1.5324989329577416,1,1,2,2,2,2,2,0,1,0,0,0,0.257494633667263,1.48300193431857,0
1,0,0,1,0.00465046875639867,1,0,0,0,1,0,2,2,0,0,0,3,1.480733196362571,0.8217386281289867,0
0,0,1,1,-0.23407585377506118,0,0,0,0,2,1,0,0,1,2,0,0,1.646426733016033,0.34352971711987873,0
0,0,0,0,-1.3322169374197765,1,0,0,1,0,1,2,1,0,2,0,1,0.15794072079231397,-1.03467933139559,0
0,0,1,1,-0.8547642923568568,1,0,1,0,0,0,1,1,1,0,1,0,-0.12866431558124145,-0.5841572924215975,0
0,0,1,1,0.5298483783256103,0,1,2,2,2,1,0,2,0,2,1,0,1.565130112121611,1.6895113139374696,0
